Hiragana,Romaji,Kanji,English_Meaning,Example
いっしゅん,ishun,一瞬,a moment;an instant,一瞬…いっしゅん
いっしょ,isho,一緒,together;meeting;company,一緒…いっしょ
いっしょう,ishou,一生,whole life;a lifetime;all through life;one existence;a generation;an age;the whole world;the era,一生…いっしょう
いっしょうけんめい,ishouukenmei,一生懸命,very hard;with utmost effort;with all one's might,一生懸命…いっしょうけんめい
いっしん,isshin,一心,one mind;wholeheartedness;the whole heart,一心…いっしん
いっせい,issei,一斉,simultaneous;all at once,一斉…いっせい
いっそ,iso,,rather;sooner;might as well,…いっそ
いっそう,issou,一層,much more;still more;all the more,一層…いっそう
いったい,ittai,一帯,a region;a zone;the whole place,一帯…いったい
いったい,ittai,一体,one object;one body;what on earth?;really?;generally,一体…いったい
いったん,ittan,一旦,once;for a moment;one morning;temporarily,一旦…いったん
いっち,ichi,一致,coincidence;agreement;union;match;conformity;consistency;co-operation,一致…いっち
いっぱい,ippai,一敗,one defeat,一敗…いっぱい
いっぱん,ippan,一般,general;liberal;universal;ordinary;average,一般…いっぱん
いっぺん,ippen,一変,complete change;about-face,一変…いっぺん
いっぽう,ippou,一方,on the other hand;one side;one way;a quarter;one direction;one party;the other party;meanwhile;only;simple;in turn,一方…いっぽう
いつ,itsu,何時,when;how soon,何時…いつ
いつか,itsuka,五日,five days;the fifth day (of the month),五日…いつか
いつか,itsuka,何時か,sometime;someday;one day;some time or other;the other day;in due course;in time,何時か…いつか
いつつ,itsutsu,五つ,five,五つ…いつつ
いつでも,itsudemo,何時でも,(at) any time;always;at all times;never (neg);whenever,何時でも…いつでも
いつのまにか,itsunomanika,何時の間にか,before one knows;unnoticed;unawares,何時の間にか…いつのまにか
いつまでも,itsumademo,何時までも,forever;for good;eternally;as long as one likes;indefinitely,何時までも…いつまでも
いつも,itsumo,何時も,always;usually;every time;never (with neg. verb),何時も…いつも
いてん,iten,移転,moving;transfer;demise,移転…いてん
いと,ito,意図,intention;aim;design,意図…いと
いと,ito,糸,thread;yarn;string,糸…いと
いとこ,itoko,従兄弟,cousin,従兄弟…いとこ
いとこ,itoko,従姉妹,cousin (female),従姉妹…いとこ
いとなむ,itonamu,営む,to carry on (e.g. in ceremony);to run a business,営む…いとなむ
いとま,itoma,暇,free time;leisure;leave;spare time;farewell,暇…いとま
いど,ido,井戸,water well,井戸…いど
いど,ido,緯度,latitude (nav.),緯度…いど
いどう,idou,異動,a change,異動…いどう
いどう,idou,移動,removal;migration;movement,移動…いどう
いどむ,idomu,挑む,to challenge;to contend for;to make love to,挑む…いどむ
いない,inai,以内,within;inside of;less than,以内…いない
いなか,inaka,田舎,rural;not particularly urban;countryside;suburb,田舎…いなか
いなびかり,inabikari,稲光,(flash of) lightning,稲光…いなびかり
いにしえ,inishie,古,antiquity;ancient times,古…いにしえ
いぬ,inu,犬,dog,犬…いぬ
いね,ine,稲,rice-plant,稲…いね
いねむり,inemuri,居眠り,dozing;nodding off,居眠り…いねむり
いのち,inochi,命,(mortal) life,命…いのち
いのり,inori,祈り,prayer;supplication,祈り…いのり
いのる,inoru,祈る,to pray;to wish,祈る…いのる
いはん,ihan,違反,violation (of law);transgression;infringement;breach,違反…いはん
いばる,ibaru,威張る,to be proud;to swagger,威張る…いばる
いびき,ibiki,鼾,snoring,鼾…いびき
いふく,ifuku,衣服,clothes,衣服…いふく
いま,ima,今,now;the present time;just now;soon;immediately;(one) more,今…いま
いま,ima,居間,living room (western style),居間…いま
いま,ima,今,now;the present time;just now;soon;immediately;(one) more,今…いま
いまさら,imasara,今更,now;at this late hour,今更…いまさら
いまだ,imada,未だ,as yet;hitherto;not yet (neg),未だ…いまだ
いまに,imani,今に,before long;even now,今に…いまに
いまにも,imanimo,今にも,at any time;soon,今にも…いまにも
いみ,imi,意味,meaning;significance,意味…いみ
いみん,imin,移民,emigration;immigration;emigrant;immigrant,移民…いみん
いもうと,imouto,妹,younger sister,妹…いもうと
いや,iya,嫌,disagreeable;detestable;unpleasant;reluctant,嫌…いや
いやいや,iyaiya,厭々,unwillingly;grudgingly;shaking head in refusal (to children),厭々…いやいや
いやがる,iyagaru,嫌がる,to hate;to dislike,嫌がる…いやがる
いやしい,iyashii,卑しい,greedy;vulgar;shabby;humble;base;mean;vile,卑しい…いやしい
いやに,iyani,,awfully;terribly,…いやに
いやらしい,iyarashii,厭やらしい,detestable;disagreeable,厭やらしい…いやらしい
いよいよ,iyoiyo,愈々,more and more;all the more;increasingly;at last;beyond doubt,愈々…いよいよ
いよく,iyoku,意欲,will;desire;ambition,意欲…いよく
いらい,irai,以来,since;henceforth,以来…いらい
いらい,irai,依頼,request;commission;dispatch;dependence;trust,依頼…いらい
いらいら,iraira,苛々,getting nervous;irritation,苛々…いらいら
いらっしゃる,irasharu,,to be;to come;to go,…いらっしゃる
いりくち,irikuchi,入口,entrance;gate;approach;mouth,入口…いりくち
いりょう,iryou,衣料,clothing,衣料…いりょう
いりょう,iryou,医療,medical care;medical treatment,医療…いりょう
いりょく,iryoku,威力,power;might;authority;influence,威力…いりょく
いる,iru,居る,to be (animate);to exist,居る…いる
いる,iru,要る,to need,要る…いる
いる,iru,居る,to be (animate);to exist,居る…いる
いる,iru,入る,to get in;to go in;to come in;to flow into;to set;to set in,入る…いる
いる,iru,煎る,to parch;to fry;to fire;to broil;to roast;to boil down (in oil),煎る…いる
いる,iru,居る,to be (animate);to exist,居る…いる
いるい,irui,衣類,clothes;clothing;garments,衣類…いるい
いれもの,iremono,入れ物,container;case;receptacle,入れ物…いれもの
いれる,ireru,入れる,to put in;to take in;to bring in;to let in;to admit;to introduce;to commit (to prison);to usher in;to insert;to set (jewels);to employ;to listen to;to tolerate;to comprehend;to include;to pay (interest);to cast (votes),入れる…いれる
いろ,iro,色,colour,色…いろ
いろ,iro,色,colour,色…いろ
いろいろ,iroiro,色々,various,色々…いろいろ
いろん,iron,異論,different opinion;objection,異論…いろん
いわ,iwa,岩,rock;crag,岩…いわ
いわい,iwai,祝い,celebration;festival,祝い…いわい
いわう,iwau,祝う,to congratulate;to celebrate,祝う…いわう
いわば,iwaba,言わば,so to speak,言わば…いわば
いわゆる,iwayuru,所謂,the so-called;so to speak,所謂…いわゆる
いん,in,印,seal;stamp;mark;print,印…いん
いん,in,員,member,員…いん
いんかん,inkan,印鑑,stamp;seal,印鑑…いんかん
いんき,inki,陰気,gloom;melancholy,陰気…いんき
いんきょ,inkyo,隠居,retirement;retired person,隠居…いんきょ
いんさつ,insatsu,印刷,printing,印刷…いんさつ
いんしょう,inshou,印象,impression,印象…いんしょう
いんたい,intai,引退,retire,引退…いんたい
いんよう,inyou,引用,quotation;citation,引用…いんよう
いんりょく,inryoku,引力,gravity,引力…いんりょく
うえ,ue,上,above;over;on top of;up;upper part;summit;surface;far better;higher;(in) authority;as far as ... is concerned;besides;after;emperor;sovereign;upon (examination);influence of (liquor);lord;shogun;superior;my dear (father),上…うえ
うえ,ue,上,above;over;on top of;up;upper part;summit;surface;far better;higher;(in) authority;as far as ... is concerned;besides;after;emperor;sovereign;upon (examination);influence of (liquor);lord;shogun;superior;my dear (father),上…うえ
うえ,ue,上,above;over;on top of;up;upper part;summit;surface;far better;higher;(in) authority;as far as ... is concerned;besides;after;emperor;sovereign;upon (examination);influence of (liquor);lord;shogun;superior;my dear (father),上…うえ
うえ,ue,上,above;over;on top of;up;upper part;summit;surface;far better;higher;(in) authority;as far as ... is concerned;besides;after;emperor;sovereign;upon (examination);influence of (liquor);lord;shogun;superior;my dear (father),上…うえ
うえき,ueki,植木,garden shrubs;trees;potted plant,植木…うえき
うえした,ueshita,上下,high and low;up and down;unloading and loading;praising and blaming,上下…うえした
うえる,ueru,植える,to plant;to grow,植える…うえる
うえる,ueru,飢える,to starve,飢える…うえる
うお,uo,魚,fish,魚…うお
うお,uo,魚,fish,魚…うお
うかがう,ukagau,伺う,to visit;to ask;to inquire;to hear;to be told;to implore (a god for an oracle),伺う…うかがう
うかぶ,ukabu,浮かぶ,to float;to rise to surface;to come to mind,浮かぶ…うかぶ
うかべる,ukaberu,浮かべる,to float;to express;to look (sad  glad),浮かべる…うかべる
うかる,ukaru,受かる,to pass (examination),受かる…うかる
うがい,ugai,含嗽,gargle;rinse mouth,含嗽…うがい
うく,uku,浮く,to float;to become merry;to become loose,浮く…うく
うけいれ,ukeire,受け入れ,receiving;acceptance,受け入れ…うけいれ
うけいれる,ukeireru,受け入れる,to accept;to receive,受け入れる…うけいれる
うけたまわる,uketamawaru,承る,to hear;to be told;to know,承る…うけたまわる
うけつぐ,uketsugu,受け継ぐ,to inherit;to succeed;to take over,受け継ぐ…うけつぐ
うけつけ,uketsuke,受付,receipt;acceptance;reception (desk);information desk,受付…うけつけ
うけつける,uketsukeru,受け付ける,to be accepted;to receive (an application),受け付ける…うけつける
うけとめる,uketomeru,受け止める,to catch;to stop the blow;to react to;to take,受け止める…うけとめる
うけとり,uketori,受け取り,receipt,受け取り…うけとり
うけとる,uketoru,受け取る,to receive;to get;to accept;to take;to interpret;to understand,受け取る…うけとる
うけみ,ukemi,受身,passive;passive voice,受身…うけみ
うけもち,ukemochi,受け持ち,charge (of something);matter in one's charge,受け持ち…うけもち
うけもつ,ukemotsu,受け持つ,to take (be in) charge of,受け持つ…うけもつ
うける,ukeru,受ける,to undertake;to accept;to take (lesson  test  damage);to undergo;to experience;to catch (e.g. a ball);to become popular,受ける…うける
うごかす,ugokasu,動かす,to move;to shift;to set in motion;to operate;to inspire;to rouse;to influence;to mobilize;to deny;to change,動かす…うごかす
うごき,ugoki,動き,movement;activity;trend;development;change,動き…うごき
うごく,ugoku,動く,to move;to stir;to shift;to shake;to swing;to operate;to run;to go;to work;to be touched;to be influenced;to waver;to fluctuate;to vary;to change;to be transferred,動く…うごく
うさぎ,usagi,兎,rabbit;hare;cony,兎…うさぎ
うし,ushi,牛,cattle;cow,牛…うし
うしお,ushio,潮,tide,潮…うしお
うしなう,ushinau,失う,to lose;to part with,失う…うしなう
うじ,uji,氏,family name,氏…うじ
うすい,usui,薄い,thin;weak;watery;diluted,薄い…うすい
うすぐらい,usugurai,薄暗い,dim;gloomy,薄暗い…うすぐらい
うすめる,usumeru,薄める,to dilute;to water down,薄める…うすめる
うず,uzu,渦,swirl,渦…うず
うずまる,uzumaru,埋まる,to be buried;to be surrounded;to overflow;to be filled,埋まる…うずまる
うずめる,uzumeru,埋める,to bury (e.g. one's face in hands),埋める…うずめる
うずめる,uzumeru,埋める,to bury (e.g. one's face in hands),埋める…うずめる
